B3GALT5-AS1,,0,0,0,,hepatocellular carcinoma,0,osteosarcoma,0
PCA3,,0,0,1,,,0,,0
LINC01531,,0,0,0,,,0,,0
HPN-AS1,,0,0,0,,,0,,0
HULC,,0,0,1,,,1,,1
TRERNA1,,0,0,0,,,1,,0
PSORS1C3,,0,0,0,,,0,,0
ATE1-AS1,,0,0,0,,,0,,0
NORAD,,0,0,0,,,0,,0
TP53TG1,,0,0,0,,,0,,0
FBXW7-AS1,,0,0,0,,,0,,0
CTBP1-AS,,0,0,1,,,0,,0
TP53COR1,,0,0,0,,,0,,0
ABALON,,0,0,0,,,0,,0
LINC01587,,0,0,0,,,0,,0
AGAP2-AS1,,0,0,0,,,0,,0
PISRT1,,0,0,0,,,0,,0
LINC01098,,0,0,0,,,0,,0
DSCR10,,0,0,0,,,0,,0
BANCR,,1,0,0,,,0,,1
LINC-ROR,,0,1,0,,,0,,0
LINC00602,,0,0,0,,,1,,0
MIR194-2HG,,0,0,0,,,1,,0
IFNG-AS1,,0,0,0,,,0,,0
HCG9,,0,0,0,,,0,,0
NBR2,,0,0,0,,,0,,0
TUSC7,,0,0,0,,,0,,1
FAM83H-AS1,,0,0,0,,,0,,0
MHRT,,0,0,0,,,0,,0
LINC00163,,0,0,0,,,0,,0
TTTY2,,0,0,0,,,0,,0
SPRY4-IT1,,0,1,0,,,1,,0
CASC8,,0,0,0,,,0,,0
ZNF667-AS1,,0,0,0,,,0,,0
LINC01080,,0,0,0,,,0,,0
ESRG,,0,0,0,,,0,,0
SNHG1,,1,0,0,,,1,,0
PARD6G-AS1,,0,0,0,,,0,,0
LINC00271,,0,0,0,,,0,,0
CADM3-AS1,,0,0,0,,,0,,0
NFIA-AS1,,0,0,0,,,0,,0
LOXL1-AS1,,0,0,0,,,0,,0
MYCNOS,,0,0,0,,,0,,0
CECR7,,0,0,0,,,0,,0
SOX2-OT,,0,1,0,,,1,,0
HYMAI,,0,0,0,,,0,,0
SNHG11,,0,0,0,,,0,,0
LINC01387,,0,0,0,,,0,,0
PWAR4,,0,0,0,,,0,,0
